label,source,label_predicted,correct,perplexity,text
human,"Prus – Lalka t.1 (1890), rozdz. I",human,True,47.832,"W początkach roku 1878, kiedy świat polityczny zajmował się pokojem san-stefańsk"
human,"Prus – Lalka t.1 (1890), dialog w jadłodajni",human,True,41.6607,"— Zaczekaj pan — przerwał radca. — Przerzucił się, ale nie do galanterii, tylko "
human,"Prus – Lalka t.2 (1890), Pamiętnik Rzeckiego",human,True,77.0122,"Sytuacja polityczna jest tak niepewna, że wcale by mnie nie zdziwiło, gdyby okoł"
human,"Prus – Lalka t.2 (1890), Wokulski w pociągu",ai,False,28.2625,W kwadrans po wyjeździe z Warszawy koleją warszawsko-bydgoską Wokulski doznał dw
human,"Prus – Faraon t.1 (1897), Wstęp",human,True,38.275,"W północno-wschodnim kącie Afryki leży Egipt, ojczyzna najstarszej cywilizacji w"
human,"Prus – Faraon t.2 (1897), Świątynia Hator",human,True,55.8089,Niedaleko miasta Pi-Bast znajdowała się wielka świątynia bogini Hator. W miesiąc
human,"Prus – Placówka (1886), ziemia i chłop",human,True,71.9115,Oto — wstyd powiedzieć — skąpisz mi bydlęcej mierzwy! Skruszony chłop zwiesił gł
human,"Żeromski – Ludzie bezdomni t.1 (1900), Judym w Paryżu",human,True,71.7929,"Tomasz Judym wracał przez Champs Elysees z Lasku Bulońskiego, dokąd jeździł ze s"
human,"Żeromski – Ludzie bezdomni t.1 (1900), Judym przy ławce",human,True,68.6088,Judym znalazł pod osłoną kasztanów brzeg wolnej ławy i z wielką satysfakcją usia
human,"Żeromski – Ludzie bezdomni t.1 (1900), Judym na Ciepłej",human,True,52.2653,"Judym szedł prędko, mrucząc coś do siebie. Mury o kolorze zakurzonego grynszpanu"
human,"Żeromski – Ludzie bezdomni t.2 (1900), szpital w Cisowie",human,True,55.4669,"Gdy trafiło się wolne miejsce, wnet je ktoś zajmował i przymykał oczy nie po to,"
human,"Żeromski – Ludzie bezdomni t.2 (1900), eskulap i sprzęty",human,True,89.7234,Na kupno dwu wanien i urządzeń do ogrzewania wody grały teatr amatorski najpiękn
human,"Żeromski – Przedwiośnie (1924), Rodowód Baryki",human,True,63.7419,"Nie chodzi tutaj — u kaduka! — o herb ani o szeregi przodków podgolonych, z sarm"
human,"Sienkiewicz – Quo Vadis (1896), przebudzenie Petroniusza",human,True,48.0219,"Petroniusz obudził się zaledwie koło południa i jak zwykle, zmęczony bardzo. Pop"
human,"Sienkiewicz – Ogniem i mieczem t.1 (1884), rok 1647",human,True,41.2944,"Rok 1647 był to dziwny rok, w którym rozmaite znaki na niebie i ziemi zwiastował"
human,"Sienkiewicz – Potop t.1 (1886), ród Billewiczów",human,True,82.715,"Był na Żmudzi ród możny Billewiczów, od Mendoga się wywodzący, wielce skoligacon"
human,"Sienkiewicz – Potop t.2 (1886), Soroka i Kmicic",ai,False,36.4568,"Wierny Soroka wiózł swego pułkownika przez lasy głębokie, sam nie wiedząc, dokąd"
human,"Sienkiewicz – Listy z Ameryki (1876), wstęp",human,True,74.4984,W życiu literackim dzieje się wiele rzeczy tak nagłych a niespodziewanych jak śm
human,"Reymont – Chłopi, Zima (1904), nadchodziła zima",human,True,142.3696,Nadchodziła zima — jeszcze się barowała z jesienią i porykujący tłukła po sinych
